initials,date,course_id,time(m),summary,
KSH,1/10/2022,DS160-01,40,Read Chapter 1 for class,
KSH,1/11/2022,DS160-01,20,Started Chapter 2,
KSH,1/12/2022,COMM103-04,10,Filled out General form about myself,
KSH,1/14/2022,DS160-01,15,Finished Chapter 2,
KSH,1/14/2022,COMM103-05,40,TedX Video: Stress and how it's benefitial,
KSH,1/16/2022,BU199-01,100,Carrer Dev. Quizes and applied to internships,
KSH,1/16/2022,MATH215-01,60,Math reading and problems 1.1 & 1.2,
KSH,1/16/2022,DS160-01,10,Creation of GIT repository and submission,
KSH,1/17/2022,MATH215-01,30,Math Meeting with teacher to discuss hw,
KSH,1/18/2022,MATH215-01,75,Online Hw Section 1.1,
KSH,1/20/2022,MATH215-01,90,Online Hw Section 1.1,
KSH,1/20/2022,COMM103-04,45,Breathing Assignment & Alexander Technique,
KSH,1/25/2022,MATH215-01,120,Online Hw Section 1.1,Online Hw Section 1.2 and Written Problems
KSH,1/25/2022,COMM103-04,60,TEDX Video: Language,
KSH,1/28/2022,COMM103-04,30,Breathing Assignment & Alexander Technique,
KSH,1/29/2022,COMM103-04,15,Patner Speech assignment review,
KSH,1/29/2022,COMM103-04,40,About me Speech and Practice,
KSH,1/30/2022,COMM103-04,10,Practice Speech,
KSH,1/31/2022,DS160-01,10,Logging hours ,
KSH,2/1/2022,MATH215-01,120,Online Hw Section 1.3 & 1.4,
KSH,2/2/2022,MATH215-01,70,Online HW Section 1.5,
KSH,2/2/2022,HIST117-04,60,Essay on Industrial Revolution,
KSH,2/4/2022,HIST117-04,40,Finish Essay on Industrial Rev,
KSH,2/4/2022,DS160-01,90,Start Individual Project 2,
KSH,2/6/2022,DS160-01,30,Work on Individual Project 2,
KSH,2/7/2022,COMM103-04,50,Take home Test,
KSH,2/7/2022,DS160-01,40,Work on Individual Project 2,
KSH,2/7/2022,COMM103-04,90,Speech Review and Critique,
KSH,2/7/2022,MATH215-01,60,Math WS ,
KSH,2/7/2022,DS160-01,60,Work on Individual Project 2,
KSH,2/8/2022,DS160-01,180,Finish Individual Project 2,
KSH,2/9/2022,COMM103-04,40,Worked on Relaxation Technique,
KSH,2/10/2022,DS160-01,120,Worked on Individual Project 3,
KSH,2/12/2022,COMM103-04,30,Finished Relaxtion Technique Assignment,
KSH,2/13/2022,THEO-200-01,50,Started Paper #1,
KSH,2/13/2022,DS160-01,125,Worked on Individual Project 3,
KSH,2/15/2022,MATH215-01,120,Finsihed Online HW,
KSH,2/15/2022,COMM103-04,30,TED Review,
KSH,2/15/2022,DS160-01,80,Worked on Individual Project 3,
KSH,2/15/2022,THEO-200-01,40,Finished Theology Paper #1,
KSH,2/17/2022,DS160-01,50,Continued IP3,
KSH,2/17/2022,DS160-01,80,Finished IP3,
